epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.491,1.49881,5.80643,1.51312,0.69119,0.09756,0.14795,0.08533,1.13735,3.38105,1.31769,0.000123131,0.000123131,0.000123131
2,401.522,1.39561,2.95042,1.52939,0.43149,0.10506,0.11942,0.0753,1.19353,3.24027,1.50606,0.000244025,0.000244025,0.000244025
3,596.427,1.48586,2.67513,1.66322,0.42482,0.14317,0.0765,0.04095,1.43471,2.8539,1.62969,0.000362476,0.000362476,0.000362476
4,787.077,1.43296,2.2841,1.62398,0.44298,0.20014,0.18404,0.10425,1.19203,2.04232,1.48428,0.000359011,0.000359011,0.000359011
5,982.189,1.36332,2.24249,1.53547,0.77219,0.12463,0.22604,0.13369,1.13722,1.78109,1.43163,0.000355348,0.000355348,0.000355348
6,1184.23,1.42763,2.14417,1.63375,0.74599,0.17328,0.30173,0.17668,1.15698,3.4449,1.45101,0.000351685,0.000351685,0.000351685
7,1380.86,1.37332,1.98583,1.55499,0.72806,0.167,0.28737,0.1633,1.18599,1.61535,1.43701,0.000348022,0.000348022,0.000348022
8,1570.03,1.33661,1.90667,1.5399,0.52937,0.33655,0.40056,0.23326,1.06157,2.28001,1.36954,0.000344359,0.000344359,0.000344359
9,1762.66,1.3443,1.81659,1.56033,0.53594,0.27046,0.38343,0.24138,1.06659,2.34484,1.37993,0.000340696,0.000340696,0.000340696
10,1953.97,1.31628,1.75721,1.55252,0.52266,0.33909,0.29432,0.17445,1.14941,1.77706,1.46059,0.000337033,0.000337033,0.000337033
11,2144.38,1.25381,1.70145,1.48445,0.60794,0.32471,0.35452,0.224,1.02597,1.56262,1.31527,0.00033337,0.00033337,0.00033337
12,2333.39,1.30974,1.65495,1.54635,0.59273,0.35925,0.38323,0.247,1.04278,1.54878,1.35073,0.000329707,0.000329707,0.000329707
13,2523.18,1.2372,1.62291,1.47551,0.53914,0.38195,0.38492,0.24759,1.01757,1.5027,1.33239,0.000326044,0.000326044,0.000326044
14,2712.02,1.24904,1.68112,1.48599,0.75409,0.34844,0.41534,0.26713,0.97941,1.47695,1.29456,0.000322381,0.000322381,0.000322381
15,2900.72,1.22627,1.61627,1.431,0.49619,0.48793,0.46246,0.28455,0.96875,1.49985,1.27169,0.000318718,0.000318718,0.000318718
16,3089.75,1.25489,1.62992,1.48107,0.4845,0.52774,0.47092,0.30483,0.99477,1.64675,1.30346,0.000315055,0.000315055,0.000315055
17,3320.55,1.24694,1.45786,1.47616,0.59725,0.38125,0.41202,0.26761,1.00155,2.26228,1.29807,0.000311392,0.000311392,0.000311392
18,3574.44,1.21707,1.51105,1.43491,0.60588,0.38814,0.43597,0.28616,0.99426,1.4799,1.31392,0.000307729,0.000307729,0.000307729
19,3827.62,1.19762,1.43586,1.43227,0.50911,0.45558,0.45495,0.30241,0.98086,1.88341,1.28585,0.000304066,0.000304066,0.000304066
20,4091.76,1.13646,1.40031,1.36539,0.65085,0.46261,0.49257,0.3343,0.9588,1.6594,1.27363,0.000300403,0.000300403,0.000300403
21,11604.3,1.17622,1.39872,1.38843,0.66236,0.48046,0.52153,0.34584,0.9977,1.26878,1.28546,0.00029674,0.00029674,0.00029674
22,11794,1.16476,1.43485,1.41584,0.63993,0.45236,0.53823,0.35088,0.97935,1.29499,1.2872,0.000293077,0.000293077,0.000293077
23,11984.7,1.10735,1.31634,1.35042,0.69176,0.43983,0.51451,0.34906,0.97985,1.21165,1.2642,0.000289414,0.000289414,0.000289414
24,12175,1.19206,1.38882,1.42133,0.59511,0.5053,0.48875,0.32401,0.97427,1.54734,1.2953,0.000285751,0.000285751,0.000285751
25,12365.1,1.14967,1.3943,1.38827,0.75636,0.46927,0.52839,0.36467,0.95219,1.50654,1.24893,0.000282088,0.000282088,0.000282088
26,12555.4,1.12993,1.35631,1.35624,0.46689,0.52257,0.5211,0.34736,0.97059,2.29053,1.2945,0.000278425,0.000278425,0.000278425
27,12744.6,1.12543,1.32438,1.38124,0.66143,0.5588,0.5489,0.37894,0.93357,1.86677,1.23136,0.000274762,0.000274762,0.000274762
28,12935,1.11927,1.29764,1.35918,0.65092,0.55243,0.58934,0.40375,0.93774,1.84206,1.27292,0.000271099,0.000271099,0.000271099
29,13124.7,1.0932,1.19813,1.33391,0.56748,0.51506,0.55148,0.38001,0.93953,1.65876,1.25335,0.000267436,0.000267436,0.000267436
30,13314.1,1.08756,1.23811,1.3221,0.61185,0.58927,0.5801,0.39934,0.94643,1.31585,1.25651,0.000263773,0.000263773,0.000263773
31,13504.2,1.08941,1.23463,1.34736,0.64029,0.5419,0.58095,0.40101,0.95311,1.63652,1.2425,0.00026011,0.00026011,0.00026011
