epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5757,1.73232,6.68049,1.47211,0.06047,0.27357,0.17935,0.11721,1.43771,3.51561,1.23186,0.000125865,0.000125865,0.000125865
2,24.1866,1.48453,4.09603,1.29597,0.88461,0.23901,0.30741,0.20819,1.45578,2.37432,1.30766,0.000251682,0.000251682,0.000251682
3,34.5308,1.40972,3.26898,1.24539,0.83422,0.32197,0.33507,0.22642,1.48541,1.89345,1.42004,0.000374958,0.000374958,0.000374958
4,44.7224,1.3937,2.85221,1.27286,0.7101,0.475,0.54262,0.34094,1.36804,1.27619,1.36147,0.000373565,0.000373565,0.000373565
5,54.8039,1.39939,2.92409,1.2869,0.56081,0.60563,0.64827,0.42541,1.37583,1.1071,1.3706,0.000369754,0.000369754,0.000369754
6,64.9942,1.35823,2.43777,1.25131,0.63664,0.76042,0.71299,0.45824,1.34678,1.02838,1.35,0.000365942,0.000365942,0.000365942
7,75.2758,1.31531,2.39781,1.2189,0.76607,0.75087,0.75008,0.48913,1.29125,0.98938,1.31021,0.000362131,0.000362131,0.000362131
8,85.6864,1.27696,2.04875,1.21238,0.7241,0.72111,0.82375,0.54165,1.26982,0.97051,1.28091,0.000358319,0.000358319,0.000358319
9,96.1722,1.2552,1.83331,1.21415,0.65529,0.75941,0.79951,0.5253,1.27131,0.95065,1.24203,0.000354508,0.000354508,0.000354508
10,106.648,1.26897,1.98674,1.22201,0.78481,0.78816,0.8053,0.53374,1.29129,0.92717,1.28417,0.000350697,0.000350697,0.000350697
11,116.858,1.25364,1.63565,1.19325,0.84998,0.80742,0.83688,0.56407,1.27833,0.84356,1.25675,0.000346885,0.000346885,0.000346885
12,127.094,1.2909,1.75554,1.23872,0.84334,0.76544,0.81773,0.54282,1.27219,0.85165,1.25465,0.000343074,0.000343074,0.000343074
13,137.373,1.27187,1.55441,1.20267,0.6132,0.78365,0.79233,0.51509,1.28699,0.9203,1.27345,0.000339262,0.000339262,0.000339262
14,147.509,1.2448,1.45238,1.19711,0.65312,0.81457,0.81588,0.55902,1.26661,0.81119,1.23262,0.00033545,0.00033545,0.00033545
15,157.626,1.2402,1.48607,1.20606,0.64475,0.82365,0.81333,0.54923,1.27219,0.75588,1.25928,0.000331639,0.000331639,0.000331639
16,167.785,1.23608,1.40026,1.16243,0.7449,0.79909,0.79804,0.55154,1.26335,0.82581,1.24266,0.000327827,0.000327827,0.000327827
17,178.058,1.21286,1.31712,1.16336,0.88741,0.81384,0.82628,0.57346,1.25911,0.73548,1.232,0.000324016,0.000324016,0.000324016
18,188.324,1.26382,1.41087,1.22543,0.81328,0.79817,0.83084,0.57682,1.2352,0.77582,1.23591,0.000320204,0.000320204,0.000320204
19,198.445,1.17036,1.23101,1.15526,0.75333,0.83077,0.80093,0.56167,1.21062,0.70955,1.20453,0.000316393,0.000316393,0.000316393
20,208.608,1.24588,1.24384,1.16704,0.81429,0.85366,0.80703,0.53524,1.29465,0.79814,1.26811,0.000312581,0.000312581,0.000312581
