epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5288,1.60093,6.36238,1.34623,0.49379,0.1036,0.05512,0.0345,1.2723,4.63422,1.19144,0.00012259,0.00012259,0.00012259
2,71.5924,1.44685,4.11079,1.24795,0.60694,0.13683,0.09871,0.06265,1.23257,3.52102,1.21155,0.000243489,0.000243489,0.000243489
3,105.183,1.40149,3.53513,1.24853,0.55686,0.22666,0.20228,0.12574,1.22349,3.00901,1.14961,0.000361946,0.000361946,0.000361946
4,138.773,1.35966,2.92657,1.23131,0.47344,0.24743,0.21962,0.14276,1.20739,2.53289,1.17506,0.000359011,0.000359011,0.000359011
5,172.352,1.3228,2.53804,1.19189,0.36355,0.3067,0.25089,0.17089,1.17488,2.56762,1.14487,0.000355348,0.000355348,0.000355348
6,205.45,1.31224,2.40871,1.18793,0.39778,0.43966,0.3035,0.19162,1.16023,2.09343,1.15677,0.000351685,0.000351685,0.000351685
7,238.893,1.3052,2.16385,1.20319,0.57541,0.34447,0.33218,0.22024,1.14202,1.88612,1.12276,0.000348022,0.000348022,0.000348022
8,272.378,1.2903,1.92744,1.18534,0.43502,0.49731,0.34352,0.22846,1.12718,1.75706,1.1219,0.000344359,0.000344359,0.000344359
9,305.481,1.29127,1.838,1.18351,0.50677,0.47948,0.34091,0.22853,1.14228,2.44905,1.12446,0.000340696,0.000340696,0.000340696
10,338.733,1.27862,1.69209,1.1692,0.38348,0.49486,0.39872,0.27904,1.07523,1.9013,1.07465,0.000337033,0.000337033,0.000337033
11,371.966,1.25249,1.58127,1.15355,0.49566,0.49153,0.37323,0.25366,1.14941,1.96588,1.11996,0.00033337,0.00033337,0.00033337
12,404.85,1.21533,1.60023,1.14824,0.35519,0.5589,0.40732,0.28718,1.10984,1.8548,1.0945,0.000329707,0.000329707,0.000329707
13,437.986,1.2177,1.51725,1.14451,0.40379,0.57924,0.44631,0.30913,1.08373,1.75815,1.08449,0.000326044,0.000326044,0.000326044
14,471.493,1.20848,1.39467,1.1278,0.30457,0.51112,0.36214,0.25091,1.14747,2.55473,1.11337,0.000322381,0.000322381,0.000322381
15,505.242,1.15883,1.39262,1.10178,0.26748,0.64049,0.41491,0.29911,1.06533,2.08949,1.06548,0.000318718,0.000318718,0.000318718
16,538.491,1.19819,1.46136,1.1191,0.31727,0.65029,0.42265,0.30128,1.04225,1.7054,1.06036,0.000315055,0.000315055,0.000315055
17,571.711,1.18165,1.34986,1.11463,0.5227,0.44389,0.42925,0.31393,1.03598,1.55822,1.06459,0.000311392,0.000311392,0.000311392
18,604.979,1.1772,1.35197,1.10875,0.39766,0.6521,0.45356,0.33247,1.07132,1.67245,1.0959,0.000307729,0.000307729,0.000307729
19,638.411,1.16408,1.35557,1.11703,0.3902,0.69708,0.479,0.35258,1.01655,1.57898,1.05375,0.000304066,0.000304066,0.000304066
20,671.44,1.17995,1.35931,1.11648,0.30741,0.73857,0.41975,0.30274,1.04299,1.74733,1.06898,0.000300403,0.000300403,0.000300403
21,704.517,1.15976,1.34265,1.10508,0.36182,0.75387,0.46276,0.33032,1.02582,1.5234,1.053,0.00029674,0.00029674,0.00029674
